2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "41cf213d-ee15-48a2-b7e2-facf3a2a9ff2", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.578558+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "4014d6e0ca5c4e0fadf23ddbb80ab672", "resource_type": "tool", "tag": "fee989193def4692b4e2d9bb9e8f26a4", "card": "id=4014d6e0ca5c4e0fadf23ddbb80ab672,name=get_exposure_profile"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "742cce84-ef39-48f1-9bc9-ac51367968bf", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.580131+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "f1cb41e478f043409b94654f9f53ba14", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=f1cb41e478f043409b94654f9f53ba14,name=get_detections"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "5652b715-8cb8-4754-bb02-181574bd4d6f", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.580386+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "b9bb13b7bdeb4111a566a232d175a1cf", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=b9bb13b7bdeb4111a566a232d175a1cf,name=get_quarantine_status"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "766423b7-f402-4b61-b5b0-c78e23633c15", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.580633+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "4e2f8a9f1ebf4db2b738f10c34950c30", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=4e2f8a9f1ebf4db2b738f10c34950c30,name=get_exposure_profile"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "320f0982-673a-41ff-a390-6d090faeffbf", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.581107+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "f1cb41e478f043409b94654f9f53ba14", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=f1cb41e478f043409b94654f9f53ba14,name=get_detections"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "683c90d3-1d9e-4adb-b841-afae442121ca", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.581266+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "4e2f8a9f1ebf4db2b738f10c34950c30", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=4e2f8a9f1ebf4db2b738f10c34950c30,name=get_exposure_profile"}
2026-07-23 20:53:51 | runner | default_trace_id | INFO | {"event_id": "30bb2be3-3680-4565-9102-3c109899631f", "event_type": "remove_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:53:51.581399+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "remove resource succeed", "metadata": {}, "resource_id": "b9bb13b7bdeb4111a566a232d175a1cf", "resource_type": "tool", "tag": "7a5245db852b4e22a7bbd1510fa8c767", "card": "id=b9bb13b7bdeb4111a566a232d175a1cf,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "2fd89270-49c9-4365-bfb1-d04457ae4411", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.113633+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "8857a5866491401dad80891c04ef75e8", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=8857a5866491401dad80891c04ef75e8,name=get_detections"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "5490a6d6-e7bc-498d-90c7-75fdf057226e", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.114239+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "4626b228fdb24d0189458619167864e1", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=4626b228fdb24d0189458619167864e1,name=get_quarantine_status"}
2026-07-23 20:59:13 | runner | default_trace_id | INFO | {"event_id": "1a8a06b3-7b1f-4286-a56b-b60ab3bd9a4e", "event_type": "add_resource", "log_level": "INFO", "timestamp": "2026-07-23T20:59:13.114559+08:00", "module_type": "system", "module_id": "runner", "module_name": "runner", "status": "success", "message": "add resource succeed", "metadata": {}, "resource_id": "eda31c4d72f3466cbe507cdb0ee975bb", "resource_type": "tool", "tag": "8aa16639deed4bc4998fd58fe5f16730", "card": "id=eda31c4d72f3466cbe507cdb0ee975bb,name=get_exposure_profile"}
